===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               131072
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	8006 D	  800a D	  1bf  	  0  	  
Set	1:	8006 D	  800a D	  0  	  0  	  
Set	2:	8006 D	  800a D	  8476  	  0  	  
Set	3:	8006 D	  800a D	  1bf  	  0  	  
Set	4:	8006 D	  800a D	  0  	  0  	  
Set	5:	8006 D	  800a D	  0  	  0  	  
Set	6:	8006 D	  800a D	  0  	  0  	  
Set	7:	8006 D	  800a D	  0  	  0  	  
Set	8:	8006 D	  800a D	  0  	  0  	  
Set	9:	8006 D	  800a D	  1bf  	  0  	  
Set	10:	8006 D	  800a D	  0  	  0  	  
Set	11:	8006 D	  800a D	  0  	  0  	  
Set	12:	8006 D	  800a D	  0  	  0  	  
Set	13:	8006 D	  800a D	  0  	  0  	  
Set	14:	8006 D	  800a D	  0  	  0  	  
Set	15:	8006 D	  800a D	  0  	  0  	  
Set	16:	8006 D	  800a D	  0  	  0  	  
Set	17:	8007 D	  8006 D	  800a D	  0  	  
Set	18:	8009  	  8007 D	  8006 D	  800a D	  
Set	19:	8007 D	  8006 D	  800a D	  0  	  
Set	20:	8006 D	  8007  	  800a D	  1bf  	  
Set	21:	8007 D	  8006 D	  800a D	  8009  	  
Set	22:	8006 D	  800a D	  8009 D	  0  	  
Set	23:	8006 D	  800a D	  8009  	  0  	  
Set	24:	8006 D	  800a D	  8009  	  8476  	  
Set	25:	8006 D	  800a D	  8476  	  0  	  
Set	26:	8006 D	  800a D	  8009  	  8476  	  
Set	27:	8006 D	  800a D	  0  	  0  	  
Set	28:	8006 D	  800a D	  8476  	  0  	  
Set	29:	8006 D	  800a D	  8009  	  8476  	  
Set	30:	8007  	  8006 D	  800a D	  8009 D	  
Set	31:	8006 D	  8009 D	  800a D	  8007  	  
Set	32:	8006 D	  800a D	  8476  	  0  	  
Set	33:	8006 D	  8009  	  800a D	  8476  	  
Set	34:	8006 D	  800a D	  8009  	  8476  	  
Set	35:	8006 D	  800a D	  8476  	  0  	  
Set	36:	8006 D	  800a D	  8476  	  0  	  
Set	37:	8006 D	  800a D	  8009  	  0  	  
Set	38:	8006 D	  800a D	  1bf  	  0  	  
Set	39:	8006 D	  800a D	  1bf  	  0  	  
Set	40:	8006 D	  800a D	  8476  	  0  	  
Set	41:	8006 D	  800a D	  8476  	  0  	  
Set	42:	8006 D	  800a D	  0  	  0  	  
Set	43:	8006 D	  800a D	  0  	  0  	  
Set	44:	8006 D	  800a D	  0  	  0  	  
Set	45:	8006 D	  800a D	  0  	  0  	  
Set	46:	8006 D	  800a D	  0  	  0  	  
Set	47:	8006 D	  800a D	  1bf  	  0  	  
Set	48:	8006 D	  800a D	  0  	  0  	  
Set	49:	8006 D	  800a D	  1bf  	  0  	  
Set	50:	8006 D	  800a D	  1bf  	  0  	  
Set	51:	8006 D	  800a D	  1bf  	  0  	  
Set	52:	8006 D	  800a D	  1bf  	  0  	  
Set	53:	8006 D	  800a D	  0  	  0  	  
Set	54:	8006 D	  800a D	  0  	  0  	  
Set	55:	8006 D	  800a D	  0  	  0  	  
Set	56:	8006 D	  800a D	  0  	  0  	  
Set	57:	8006 D	  800a D	  1bf  	  0  	  
Set	58:	8006 D	  800a D	  1bf  	  0  	  
Set	59:	8006 D	  800a D	  1bf  	  0  	  
Set	60:	8006 D	  800a D	  0  	  0  	  
Set	61:	8006 D	  800a D	  0  	  0  	  
Set	62:	8006 D	  800a D	  0  	  0  	  
Set	63:	8006 D	  800a D	  0  	  0  	  
Set	64:	8006 D	  800a D	  0  	  0  	  
Set	65:	8006 D	  800a D	  1bf  	  0  	  
Set	66:	8006 D	  800a D	  8476  	  8027 D	  
Set	67:	8006 D	  800a D	  8476 D	  0  	  
Set	68:	8006 D	  800a D	  0  	  0  	  
Set	69:	8006 D	  800a D	  0  	  0  	  
Set	70:	8006 D	  800a D	  0  	  0  	  
Set	71:	8006 D	  800a D	  1bf  	  0  	  
Set	72:	8006 D	  800a D	  0  	  0  	  
Set	73:	8006 D	  800a D	  8027 D	  0  	  
Set	74:	8006 D	  800a D	  8027 D	  0  	  
Set	75:	8006 D	  800a D	  0  	  0  	  
Set	76:	8006 D	  800a D	  0  	  0  	  
Set	77:	8006 D	  800a D	  0  	  0  	  
Set	78:	8006 D	  800a D	  0  	  0  	  
Set	79:	8006 D	  800a D	  8476 D	  0  	  
Set	80:	8006 D	  800a D	  8476 D	  0  	  
Set	81:	8006 D	  800a D	  8476 D	  0  	  
Set	82:	8006 D	  800a D	  8476 D	  0  	  
Set	83:	8006 D	  800a D	  8476 D	  1bf  	  
Set	84:	8006 D	  800a D	  0  	  0  	  
Set	85:	8006 D	  800a D	  0  	  0  	  
Set	86:	8006 D	  800a D	  0  	  0  	  
Set	87:	8006 D	  800a D	  0  	  0  	  
Set	88:	8006 D	  800a D	  0  	  0  	  
Set	89:	8006 D	  800a D	  8027 D	  0  	  
Set	90:	8006 D	  800a D	  0  	  0  	  
Set	91:	8006 D	  800a D	  0  	  0  	  
Set	92:	8006 D	  800a D	  0  	  0  	  
Set	93:	8006 D	  800a D	  0  	  0  	  
Set	94:	8006 D	  800a D	  0  	  0  	  
Set	95:	8006 D	  800a D	  0  	  0  	  
Set	96:	8006 D	  800a D	  0  	  0  	  
Set	97:	8006 D	  800a D	  0  	  0  	  
Set	98:	8006 D	  800a D	  0  	  0  	  
Set	99:	8006 D	  800a D	  0  	  0  	  
Set	100:	8006 D	  800a D	  0  	  0  	  
Set	101:	8006 D	  800a D	  0  	  0  	  
Set	102:	8006 D	  800a D	  0  	  0  	  
Set	103:	8006 D	  0  	  0  	  0  	  
