===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             1
L1_PREF_M:             4
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	40033 D	  40056 D	  40055 D	  40054 D	  
Set	1:	40033 D	  4003f D	  40055 D	  40053 D	  
Set	2:	40033 D	  40055 D	  40056 D	  40054 D	  
Set	3:	40036 D	  40056 D	  40053 D	  40055 D	  
Set	4:	4001f  	  40056 D	  40053 D	  40055 D	  
Set	5:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	6:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	7:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	8:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	9:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	10:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	11:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	12:	4001f  	  40056 D	  40055 D	  40054 D	  
Set	13:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	14:	40035 D	  4003a D	  40056 D	  40055 D	  
Set	15:	4003f D	  40056 D	  40055 D	  40054 D	  
Set	16:	4003a D	  40056 D	  40055 D	  40054 D	  
Set	17:	40038 D	  4003a D	  40056 D	  40054 D	  
Set	18:	40048  	  40038 D	  40029  	  40056 D	  
Set	19:	40038 D	  40056 D	  40055 D	  40054 D	  
Set	20:	4001f  	  40029  	  40056 D	  4002d D	  
Set	21:	40001  	  40038 D	  40055 D	  40054 D	  
Set	22:	40001  	  4001f  	  40051 D	  40055 D	  
Set	23:	40001  	  40029  	  4001f  	  40051 D	  
Set	24:	40001  	  4001f  	  40029  	  4002f D	  
Set	25:	40001  	  4001f  	  40053 D	  40054 D	  
Set	26:	40001  	  40054 D	  40053 D	  40051 D	  
Set	27:	40001  	  40051 D	  40055 D	  40054 D	  
Set	28:	40031 D	  4002f D	  40051 D	  40055 D	  
Set	29:	4003a D	  40051 D	  40055 D	  40054 D	  
Set	30:	40038  	  40051 D	  40055 D	  40054 D	  
Set	31:	40035 D	  4003a D	  40051 D	  40043 D	  
Set	32:	40031  	  4002f D	  40051 D	  40055 D	  
Set	33:	40054 D	  40051 D	  40053 D	  40055 D	  
Set	34:	40031  	  40054 D	  40051 D	  40053 D	  
Set	35:	40031  	  4002f D	  40054 D	  40051 D	  
Set	36:	4002f D	  40031  	  40054 D	  40051 D	  
Set	37:	4002f  	  4001f  	  40031  	  40036 D	  
Set	38:	40031  	  40036 D	  40051 D	  40030 D	  
Set	39:	4001f  	  40036 D	  4002f  	  40051 D	  
Set	40:	4001f  	  40036 D	  40035  	  40051 D	  
Set	41:	4001f  	  40036 D	  40035  	  40053 D	  
Set	42:	4001f  	  40035  	  40036 D	  40054 D	  
Set	43:	40027  	  40035  	  40054 D	  40051 D	  
Set	44:	4003e D	  40035  	  40031 D	  40027  	  
Set	45:	40027  	  40036 D	  40044 D	  40051 D	  
Set	46:	40027  	  40036 D	  40051 D	  40055 D	  
Set	47:	40027  	  40044 D	  40051 D	  40055 D	  
Set	48:	40035  	  40044 D	  40051 D	  40055 D	  
Set	49:	4002a D	  40027  	  4001f  	  40051 D	  
Set	50:	40044 D	  40027  	  40051 D	  40054 D	  
Set	51:	40051 D	  40055 D	  4003e D	  40054 D	  
Set	52:	4003e D	  40051 D	  40055 D	  40054 D	  
Set	53:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	54:	40044 D	  40051 D	  40055 D	  40043 D	  
Set	55:	40037 D	  4002f D	  40051 D	  40055 D	  
Set	56:	4002f D	  40037 D	  40051 D	  40055 D	  
Set	57:	4002f D	  40053 D	  40051 D	  40054 D	  
Set	58:	40035 D	  40051 D	  40054 D	  40053 D	  
Set	59:	40035 D	  40051 D	  40055 D	  40054 D	  
Set	60:	40035  	  40051 D	  40055 D	  40054 D	  
Set	61:	40036 D	  40035 D	  40051 D	  40055 D	  
Set	62:	40051 D	  40036 D	  40055 D	  40054 D	  
Set	63:	40051 D	  40055 D	  40031 D	  40054 D	  
Set	64:	4003e D	  40051 D	  40055 D	  40054 D	  
Set	65:	40036 D	  40051 D	  40053 D	  40055 D	  
Set	66:	40051 D	  40031 D	  40053 D	  40055 D	  
Set	67:	40035 D	  40051 D	  40055 D	  40054 D	  
Set	68:	40051 D	  40035 D	  40055 D	  40054 D	  
Set	69:	40051 D	  40055 D	  40054 D	  40053 D	  
Set	70:	40035 D	  40051 D	  4003c D	  40037 D	  
Set	71:	40035  	  40051 D	  40055 D	  40054 D	  
